SR NO,GROUP,SYMBOL,DESCRIPTION,LP,DIGITS,Benchmark,Core Spread,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P51,P52,P53,P54,P55,P56,P57,P59,P60,P62,P63,P64,P65,P66,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103
254,USEQUITY,COUP, Coupa Software Inc,CMC,3,0.53,0.53,0.72,0.87,1.06,0.58,0.72,0.87,1.06,1.24,1.34,0.58,1.34,1.24,0.72,0.72,0.58,1.34,0.58,1.06,0.58,0.87,0.87,0.58,1.34,1.34,0.72,0.58,0.72,1.24,0.87,0.72,1.24,1.06,0.58,1.24,0.72,0.72,1.24,0.58,1.06,1.06,1.06,0.58,0.87,1.06,0.58,1.06,0.87,0.72,1.24,0.87,1.34,0.87,0.72,1.06,1.06,0.72,0.63,0.58,0.72,0.87,0.72,0.72,0.58,0.72,1.34,0.87,1.06,0.87,0.72,1.06,1.34,0.58,0.72,0.87,1.34,0.72,0.58,0.58,0.58,0.58,0.58,0.72,0.58,0.72,1.06,0.87,1.34,1.06,1.06,0.72,0.58,0.87,0.72,0.58,0.58
255,USEQUITY,COUPANG, Coupang Inc,CMC,3,0.01,0.01,0.04,0.06,0.08,0.19,0.29,0.34,0.47,0.58,0.78,0.19,0.78,0.58,0.04,0.29,0.19,0.78,0.19,0.08,0.19,0.34,0.34,0.19,0.78,0.78,0.29,0.19,0.29,0.58,0.34,0.29,0.58,0.02,0.19,0.58,0.29,0.29,0.58,0.19,0.47,0.47,0.08,0.19,0.34,0.08,0.19,0.47,0.34,0.04,0.58,0.06,0.78,0.34,0.29,0.08,0.08,0.29,0.11,0.19,0.29,0.34,0.29,0.29,0.19,0.29,0.78,0.34,0.08,0.34,0.29,0.02,0.78,0.19,0.29,0.34,0.78,0.04,0.19,0.19,0.19,0.19,0.19,0.29,0.19,0.29,0.47,0.34,0.78,0.08,0.08,0.29,0.19,0.34,0.29,0.19,0.19
256,USEQUITY,CPRT, Copart Inc,CMC,2,0.01,0.01,0.05,0.06,0.07,0.09,0.12,0.16,0.27,0.38,0.48,0.09,0.48,0.38,0.05,0.12,0.09,0.48,0.09,0.07,0.09,0.16,0.16,0.09,0.48,0.48,0.12,0.09,0.12,0.38,0.16,0.12,0.38,0.02,0.09,0.38,0.12,0.12,0.38,0.09,0.27,0.27,0.07,0.09,0.16,0.07,0.09,0.27,0.16,0.05,0.38,0.06,0.48,0.16,0.12,0.07,0.07,0.12,0.11,0.09,0.12,0.16,0.12,0.12,0.09,0.12,0.48,0.16,0.07,0.16,0.12,0.02,0.48,0.09,0.12,0.16,0.48,0.05,0.09,0.09,0.09,0.09,0.09,0.12,0.09,0.12,0.27,0.16,0.48,0.07,0.07,0.12,0.09,0.16,0.12,0.09,0.09
257,USEQUITY,CRESY, Cresud SACIF y A,CMC,2,0.09,0.09,0.13,0.16,0.19,0.15,0.26,0.35,0.47,0.62,0.72,0.15,0.72,0.62,0.13,0.26,0.15,0.72,0.15,0.19,0.15,0.35,0.35,0.15,0.72,0.72,0.26,0.15,0.26,0.62,0.35,0.26,0.62,0.18,0.15,0.62,0.26,0.26,0.62,0.15,0.47,0.47,0.19,0.15,0.35,0.19,0.15,0.47,0.35,0.13,0.62,0.16,0.72,0.35,0.26,0.19,0.19,0.26,0.19,0.15,0.26,0.35,0.26,0.26,0.15,0.26,0.72,0.35,0.19,0.35,0.26,0.18,0.72,0.15,0.26,0.35,0.72,0.13,0.15,0.15,0.15,0.15,0.15,0.26,0.15,0.26,0.47,0.35,0.72,0.19,0.19,0.26,0.15,0.35,0.26,0.15,0.15
258,USEQUITY,CROCS, Crocs Inc,CMC,3,0.1,0.1,0.12,0.14,0.18,0.22,0.28,0.35,0.45,0.65,0.85,0.22,0.85,0.65,0.12,0.28,0.22,0.85,0.22,0.18,0.22,0.35,0.35,0.22,0.85,0.85,0.28,0.22,0.28,0.65,0.35,0.28,0.65,0.2,0.22,0.65,0.28,0.28,0.65,0.22,0.45,0.45,0.18,0.22,0.35,0.18,0.22,0.45,0.35,0.12,0.65,0.14,0.85,0.35,0.28,0.18,0.18,0.28,0.2,0.22,0.28,0.35,0.28,0.28,0.22,0.28,0.85,0.35,0.18,0.35,0.28,0.2,0.85,0.22,0.28,0.35,0.85,0.12,0.22,0.22,0.22,0.22,0.22,0.28,0.22,0.28,0.45,0.35,0.85,0.18,0.18,0.28,0.22,0.35,0.28,0.22,0.22
259,USEQUITY,CRWD, Crowdstrike Holdings Inc,CMC,3,0.14,0.14,0.19,0.23,0.28,0.21,0.31,0.35,0.55,0.78,0.88,0.21,0.88,0.78,0.19,0.31,0.21,0.88,0.21,0.28,0.21,0.35,0.35,0.21,0.88,0.88,0.31,0.21,0.31,0.78,0.35,0.31,0.78,0.28,0.21,0.78,0.31,0.31,0.78,0.21,0.55,0.55,0.28,0.21,0.35,0.28,0.21,0.55,0.35,0.19,0.78,0.23,0.88,0.35,0.31,0.28,0.28,0.31,0.24,0.21,0.31,0.35,0.31,0.31,0.21,0.31,0.88,0.35,0.28,0.35,0.31,0.28,0.88,0.21,0.31,0.35,0.88,0.19,0.21,0.21,0.21,0.21,0.21,0.31,0.21,0.31,0.55,0.35,0.88,0.28,0.28,0.31,0.21,0.35,0.31,0.21,0.21
260,USEQUITY,CSG, Credit Suisse Group AG,CMC,3,0.01,0.01,0.02,0.03,0.04,0.06,0.1,0.17,0.28,0.39,0.49,0.06,0.49,0.39,0.02,0.1,0.06,0.49,0.06,0.04,0.06,0.17,0.17,0.06,0.49,0.49,0.1,0.06,0.1,0.39,0.17,0.1,0.39,0.02,0.06,0.39,0.1,0.1,0.39,0.06,0.28,0.28,0.04,0.06,0.17,0.04,0.06,0.28,0.17,0.02,0.39,0.03,0.49,0.17,0.1,0.04,0.04,0.1,0.11,0.06,0.1,0.17,0.1,0.1,0.06,0.1,0.49,0.17,0.04,0.17,0.1,0.02,0.49,0.06,0.1,0.17,0.49,0.02,0.06,0.06,0.06,0.06,0.06,0.1,0.06,0.1,0.28,0.17,0.49,0.04,0.04,0.1,0.06,0.17,0.1,0.06,0.06
261,USEQUITY,CSGP, CoStar Group Inc,CMC,2,0.02,0.02,0.15,0.18,0.22,0.28,0.34,0.42,0.52,0.65,0.8,0.28,0.8,0.65,0.15,0.34,0.28,0.8,0.28,0.22,0.28,0.42,0.42,0.28,0.8,0.8,0.34,0.28,0.34,0.65,0.42,0.34,0.65,0.04,0.28,0.65,0.34,0.34,0.65,0.28,0.52,0.52,0.22,0.28,0.42,0.22,0.28,0.52,0.42,0.15,0.65,0.18,0.8,0.42,0.34,0.22,0.22,0.34,0.12,0.28,0.34,0.42,0.34,0.34,0.28,0.34,0.8,0.42,0.22,0.42,0.34,0.04,0.8,0.28,0.34,0.42,0.8,0.15,0.28,0.28,0.28,0.28,0.28,0.34,0.28,0.34,0.52,0.42,0.8,0.22,0.22,0.34,0.28,0.42,0.34,0.28,0.28
262,USEQUITY,CTL, Centurylink,CMC,3,0.01,0.01,0.03,0.04,0.05,0.04,0.09,0.16,0.27,0.38,0.48,0.04,0.48,0.38,0.03,0.09,0.04,0.48,0.04,0.05,0.04,0.16,0.16,0.04,0.48,0.48,0.09,0.04,0.09,0.38,0.16,0.09,0.38,0.02,0.04,0.38,0.09,0.09,0.38,0.04,0.27,0.27,0.05,0.04,0.16,0.05,0.04,0.27,0.16,0.03,0.38,0.04,0.48,0.16,0.09,0.05,0.05,0.09,0.11,0.04,0.09,0.16,0.09,0.09,0.04,0.09,0.48,0.16,0.05,0.16,0.09,0.02,0.48,0.04,0.09,0.16,0.48,0.03,0.04,0.04,0.04,0.04,0.04,0.09,0.04,0.09,0.27,0.16,0.48,0.05,0.05,0.09,0.04,0.16,0.09,0.04,0.04
263,USEQUITY,CTLNT, Catalent Inc,CMC,3,0.15,0.15,0.21,0.25,0.3,0.22,0.32,0.36,0.56,0.79,0.89,0.22,0.89,0.79,0.21,0.32,0.22,0.89,0.22,0.3,0.22,0.36,0.36,0.22,0.89,0.89,0.32,0.22,0.32,0.79,0.36,0.32,0.79,0.3,0.22,0.79,0.32,0.32,0.79,0.22,0.56,0.56,0.3,0.22,0.36,0.3,0.22,0.56,0.36,0.21,0.79,0.25,0.89,0.36,0.32,0.3,0.3,0.32,0.25,0.22,0.32,0.36,0.32,0.32,0.22,0.32,0.89,0.36,0.3,0.36,0.32,0.3,0.89,0.22,0.32,0.36,0.89,0.21,0.22,0.22,0.22,0.22,0.22,0.32,0.22,0.32,0.56,0.36,0.89,0.3,0.3,0.32,0.22,0.36,0.32,0.22,0.22
264,USEQUITY,CTRA, Coterra Energy Inc,CMC,3,0.01,0.01,0.03,0.04,0.05,0.06,0.09,0.16,0.27,0.38,0.48,0.06,0.48,0.38,0.03,0.09,0.06,0.48,0.06,0.05,0.06,0.16,0.16,0.06,0.48,0.48,0.09,0.06,0.09,0.38,0.16,0.09,0.38,0.02,0.06,0.38,0.09,0.09,0.38,0.06,0.27,0.27,0.05,0.06,0.16,0.05,0.06,0.27,0.16,0.03,0.38,0.04,0.48,0.16,0.09,0.05,0.05,0.09,0.11,0.06,0.09,0.16,0.09,0.09,0.06,0.09,0.48,0.16,0.05,0.16,0.09,0.02,0.48,0.06,0.09,0.16,0.48,0.03,0.06,0.06,0.06,0.06,0.06,0.09,0.06,0.09,0.27,0.16,0.48,0.05,0.05,0.09,0.06,0.16,0.09,0.06,0.06
265,USEQUITY,CVAC, CureVac NV,CMC,3,0.18,0.18,0.26,0.32,0.36,0.26,0.37,0.45,0.71,0.95,1.05,0.26,1.05,0.95,0.26,0.37,0.26,1.05,0.26,0.36,0.26,0.45,0.45,0.26,1.05,1.05,0.37,0.26,0.37,0.95,0.45,0.37,0.95,0.36,0.26,0.95,0.37,0.37,0.95,0.26,0.71,0.71,0.36,0.26,0.45,0.36,0.26,0.71,0.45,0.26,0.95,0.32,1.05,0.45,0.37,0.36,0.36,0.37,0.28,0.26,0.37,0.45,0.37,0.37,0.26,0.37,1.05,0.45,0.36,0.45,0.37,0.36,1.05,0.26,0.37,0.45,1.05,0.26,0.26,0.26,0.26,0.26,0.26,0.37,0.26,0.37,0.71,0.45,1.05,0.36,0.36,0.37,0.26,0.45,0.37,0.26,0.26
266,USEQUITY,CVS, CVS Health Corp,CMC,3,0.01,0.01,0.03,0.04,0.05,0.07,0.09,0.15,0.3,0.46,0.66,0.07,0.66,0.46,0.03,0.09,0.07,0.66,0.07,0.05,0.07,0.15,0.15,0.07,0.66,0.66,0.09,0.07,0.09,0.46,0.15,0.09,0.46,0.02,0.07,0.46,0.09,0.09,0.46,0.07,0.3,0.3,0.05,0.07,0.15,0.05,0.07,0.3,0.15,0.03,0.46,0.04,0.66,0.15,0.09,0.05,0.05,0.09,0.11,0.07,0.09,0.15,0.09,0.09,0.07,0.09,0.66,0.15,0.05,0.15,0.09,0.02,0.66,0.07,0.09,0.15,0.66,0.03,0.07,0.07,0.07,0.07,0.07,0.09,0.07,0.09,0.3,0.15,0.66,0.05,0.05,0.09,0.07,0.15,0.09,0.07,0.07
267,USEQUITY,CYH, Community Health Systems Inc,CMC,3,0.01,0.01,0.03,0.04,0.05,0.04,0.09,0.16,0.27,0.38,0.48,0.04,0.48,0.38,0.03,0.09,0.04,0.48,0.04,0.05,0.04,0.16,0.16,0.04,0.48,0.48,0.09,0.04,0.09,0.38,0.16,0.09,0.38,0.02,0.04,0.38,0.09,0.09,0.38,0.04,0.27,0.27,0.05,0.04,0.16,0.05,0.04,0.27,0.16,0.03,0.38,0.04,0.48,0.16,0.09,0.05,0.05,0.09,0.11,0.04,0.09,0.16,0.09,0.09,0.04,0.09,0.48,0.16,0.05,0.16,0.09,0.02,0.48,0.04,0.09,0.16,0.48,0.03,0.04,0.04,0.04,0.04,0.04,0.09,0.04,0.09,0.27,0.16,0.48,0.05,0.05,0.09,0.04,0.16,0.09,0.04,0.04
268,USEQUITY,CZR, Caesars Entertainment Inc,CMC,3,0.01,0.01,0.03,0.31,0.41,0.51,0.61,0.71,0.81,0.91,0.82,0.51,0.82,0.91,0.03,0.61,0.51,0.82,0.51,0.41,0.51,0.71,0.71,0.51,0.82,0.82,0.61,0.51,0.61,0.91,0.71,0.61,0.91,0.02,0.51,0.91,0.61,0.61,0.91,0.51,0.81,0.81,0.41,0.51,0.71,0.41,0.51,0.81,0.71,0.03,0.91,0.31,0.82,0.71,0.61,0.41,0.41,0.61,0.11,0.51,0.61,0.71,0.61,0.61,0.51,0.61,0.82,0.71,0.41,0.71,0.61,0.02,0.82,0.51,0.61,0.71,0.82,0.03,0.51,0.51,0.51,0.51,0.51,0.61,0.51,0.61,0.81,0.71,0.82,0.41,0.41,0.61,0.51,0.71,0.61,0.51,0.51
269,USEQUITY,DADA, Dada Nexus Ltd - ADR,CMC,3,0.01,0.01,0.03,0.04,0.05,0.07,0.09,0.15,0.25,0.35,0.46,0.07,0.46,0.35,0.03,0.09,0.07,0.46,0.07,0.05,0.07,0.15,0.15,0.07,0.46,0.46,0.09,0.07,0.09,0.35,0.15,0.09,0.35,0.02,0.07,0.35,0.09,0.09,0.35,0.07,0.25,0.25,0.05,0.07,0.15,0.05,0.07,0.25,0.15,0.03,0.35,0.04,0.46,0.15,0.09,0.05,0.05,0.09,0.11,0.07,0.09,0.15,0.09,0.09,0.07,0.09,0.46,0.15,0.05,0.15,0.09,0.02,0.46,0.07,0.09,0.15,0.46,0.03,0.07,0.07,0.07,0.07,0.07,0.09,0.07,0.09,0.25,0.15,0.46,0.05,0.05,0.09,0.07,0.15,0.09,0.07,0.07
270,USEQUITY,DAQO, Daqo New Energy Corporation,CMC,3,0.05,0.05,0.06,0.08,0.1,0.12,0.21,0.26,0.39,0.5,0.6,0.12,0.6,0.5,0.06,0.21,0.12,0.6,0.12,0.1,0.12,0.26,0.26,0.12,0.6,0.6,0.21,0.12,0.21,0.5,0.26,0.21,0.5,0.1,0.12,0.5,0.21,0.21,0.5,0.12,0.39,0.39,0.1,0.12,0.26,0.1,0.12,0.39,0.26,0.06,0.5,0.08,0.6,0.26,0.21,0.1,0.1,0.21,0.15,0.12,0.21,0.26,0.21,0.21,0.12,0.21,0.6,0.26,0.1,0.26,0.21,0.1,0.6,0.12,0.21,0.26,0.6,0.06,0.12,0.12,0.12,0.12,0.12,0.21,0.12,0.21,0.39,0.26,0.6,0.1,0.1,0.21,0.12,0.26,0.21,0.12,0.12
271,USEQUITY,DAR, Darling Ingredients Inc,CMC,3,0.02,0.02,0.04,0.06,0.09,0.15,0.26,0.31,0.46,0.56,0.7,0.15,0.7,0.56,0.04,0.26,0.15,0.7,0.15,0.09,0.15,0.31,0.31,0.15,0.7,0.7,0.26,0.15,0.26,0.56,0.31,0.26,0.56,0.04,0.15,0.56,0.26,0.26,0.56,0.15,0.46,0.46,0.09,0.15,0.31,0.09,0.15,0.46,0.31,0.04,0.56,0.06,0.7,0.31,0.26,0.09,0.09,0.26,0.12,0.15,0.26,0.31,0.26,0.26,0.15,0.26,0.7,0.31,0.09,0.31,0.26,0.04,0.7,0.15,0.26,0.31,0.7,0.04,0.15,0.15,0.15,0.15,0.15,0.26,0.15,0.26,0.46,0.31,0.7,0.09,0.09,0.26,0.15,0.31,0.26,0.15,0.15
272,USEQUITY,DATWY, Dave & Busters Entertainment,CMC,3,0.05,0.05,0.08,0.1,0.12,0.09,0.18,0.23,0.36,0.47,0.57,0.09,0.57,0.47,0.08,0.18,0.09,0.57,0.09,0.12,0.09,0.23,0.23,0.09,0.57,0.57,0.18,0.09,0.18,0.47,0.23,0.18,0.47,0.1,0.09,0.47,0.18,0.18,0.47,0.09,0.36,0.36,0.12,0.09,0.23,0.12,0.09,0.36,0.23,0.08,0.47,0.1,0.57,0.23,0.18,0.12,0.12,0.18,0.15,0.09,0.18,0.23,0.18,0.18,0.09,0.18,0.57,0.23,0.12,0.23,0.18,0.1,0.57,0.09,0.18,0.23,0.57,0.08,0.09,0.09,0.09,0.09,0.09,0.18,0.09,0.18,0.36,0.23,0.57,0.12,0.12,0.18,0.09,0.23,0.18,0.09,0.09
273,USEQUITY,DDOG, Datadog Ord Shs Class - A,CMC,3,0.05,0.05,0.08,0.1,0.12,0.09,0.18,0.23,0.36,0.47,0.57,0.09,0.57,0.47,0.08,0.18,0.09,0.57,0.09,0.12,0.09,0.23,0.23,0.09,0.57,0.57,0.18,0.09,0.18,0.47,0.23,0.18,0.47,0.1,0.09,0.47,0.18,0.18,0.47,0.09,0.36,0.36,0.12,0.09,0.23,0.12,0.09,0.36,0.23,0.08,0.47,0.1,0.57,0.23,0.18,0.12,0.12,0.18,0.15,0.09,0.18,0.23,0.18,0.18,0.09,0.18,0.57,0.23,0.12,0.23,0.18,0.1,0.57,0.09,0.18,0.23,0.57,0.08,0.09,0.09,0.09,0.09,0.09,0.18,0.09,0.18,0.36,0.23,0.57,0.12,0.12,0.18,0.09,0.23,0.18,0.09,0.09
274,USEQUITY,DECKERSOUTDOOR, Deckers Outdoor Corp ,CMC,2,0.69,0.69,0.99,1.09,1.19,1.27,1.41,1.56,1.75,1.93,2.03,1.27,2.03,1.93,0.99,1.41,1.27,2.03,1.27,1.19,1.27,1.56,1.56,1.27,2.03,2.03,1.41,1.27,1.41,1.93,1.56,1.41,1.93,1.38,1.27,1.93,1.41,1.41,1.93,1.27,1.75,1.75,1.19,1.27,1.56,1.19,1.27,1.75,1.56,0.99,1.93,1.09,2.03,1.56,1.41,1.19,1.19,1.41,0.79,1.27,1.41,1.56,1.41,1.41,1.27,1.41,2.03,1.56,1.19,1.56,1.41,1.38,2.03,1.27,1.41,1.56,2.03,0.99,1.27,1.27,1.27,1.27,1.27,1.41,1.27,1.41,1.75,1.56,2.03,1.19,1.19,1.41,1.27,1.56,1.41,1.27,1.27
275,USEQUITY,DEERE, Deere & Co,CMC,3,0.5,0.5,0.56,0.58,0.6,0.66,0.74,0.84,0.94,1.08,1.22,0.66,1.22,1.08,0.56,0.74,0.66,1.22,0.66,0.6,0.66,0.84,0.84,0.66,1.22,1.22,0.74,0.66,0.74,1.08,0.84,0.74,1.08,1,0.66,1.08,0.74,0.74,1.08,0.66,0.94,0.94,0.6,0.66,0.84,0.6,0.66,0.94,0.84,0.56,1.08,0.58,1.22,0.84,0.74,0.6,0.6,0.74,0.6,0.66,0.74,0.84,0.74,0.74,0.66,0.74,1.22,0.84,0.6,0.84,0.74,1,1.22,0.66,0.74,0.84,1.22,0.56,0.66,0.66,0.66,0.66,0.66,0.74,0.66,0.74,0.94,0.84,1.22,0.6,0.6,0.74,0.66,0.84,0.74,0.66,0.66
276,USEQUITY,DELL, Dell Technologies Inc,CMC,3,0.04,0.04,0.08,0.1,0.12,0.08,0.17,0.22,0.35,0.46,0.56,0.08,0.56,0.46,0.08,0.17,0.08,0.56,0.08,0.12,0.08,0.22,0.22,0.08,0.56,0.56,0.17,0.08,0.17,0.46,0.22,0.17,0.46,0.08,0.08,0.46,0.17,0.17,0.46,0.08,0.35,0.35,0.12,0.08,0.22,0.12,0.08,0.35,0.22,0.08,0.46,0.1,0.56,0.22,0.17,0.12,0.12,0.17,0.14,0.08,0.17,0.22,0.17,0.17,0.08,0.17,0.56,0.22,0.12,0.22,0.17,0.08,0.56,0.08,0.17,0.22,0.56,0.08,0.08,0.08,0.08,0.08,0.08,0.17,0.08,0.17,0.35,0.22,0.56,0.12,0.12,0.17,0.08,0.22,0.17,0.08,0.08
277,USEQUITY,DELTAAIR, Delta Air Lines Inc,CMC,3,0.01,0.01,0.03,0.04,0.05,0.04,0.09,0.16,0.27,0.38,0.48,0.04,0.48,0.38,0.03,0.09,0.04,0.48,0.04,0.05,0.04,0.16,0.16,0.04,0.48,0.48,0.09,0.04,0.09,0.38,0.16,0.09,0.38,0.02,0.04,0.38,0.09,0.09,0.38,0.04,0.27,0.27,0.05,0.04,0.16,0.05,0.04,0.27,0.16,0.03,0.38,0.04,0.48,0.16,0.09,0.05,0.05,0.09,0.11,0.04,0.09,0.16,0.09,0.09,0.04,0.09,0.48,0.16,0.05,0.16,0.09,0.02,0.48,0.04,0.09,0.16,0.48,0.03,0.04,0.04,0.04,0.04,0.04,0.09,0.04,0.09,0.27,0.16,0.48,0.05,0.05,0.09,0.04,0.16,0.09,0.04,0.04
278,USEQUITY,DEUTBK, Deutsche Bank AG (US),CMC,3,0.01,0.01,0.03,0.04,0.05,0.04,0.09,0.16,0.27,0.38,0.48,0.04,0.48,0.38,0.03,0.09,0.04,0.48,0.04,0.05,0.04,0.16,0.16,0.04,0.48,0.48,0.09,0.04,0.09,0.38,0.16,0.09,0.38,0.02,0.04,0.38,0.09,0.09,0.38,0.04,0.27,0.27,0.05,0.04,0.16,0.05,0.04,0.27,0.16,0.03,0.38,0.04,0.48,0.16,0.09,0.05,0.05,0.09,0.11,0.04,0.09,0.16,0.09,0.09,0.04,0.09,0.48,0.16,0.05,0.16,0.09,0.02,0.48,0.04,0.09,0.16,0.48,0.03,0.04,0.04,0.04,0.04,0.04,0.09,0.04,0.09,0.27,0.16,0.48,0.05,0.05,0.09,0.04,0.16,0.09,0.04,0.04
279,USEQUITY,DHI, D R Horton Inc,CMC,3,0.02,0.02,0.04,0.05,0.06,0.08,0.1,0.17,0.28,0.39,0.49,0.08,0.49,0.39,0.04,0.1,0.08,0.49,0.08,0.06,0.08,0.17,0.17,0.08,0.49,0.49,0.1,0.08,0.1,0.39,0.17,0.1,0.39,0.04,0.08,0.39,0.1,0.1,0.39,0.08,0.28,0.28,0.06,0.08,0.17,0.06,0.08,0.28,0.17,0.04,0.39,0.05,0.49,0.17,0.1,0.06,0.06,0.1,0.12,0.08,0.1,0.17,0.1,0.1,0.08,0.1,0.49,0.17,0.06,0.17,0.1,0.04,0.49,0.08,0.1,0.17,0.49,0.04,0.08,0.08,0.08,0.08,0.08,0.1,0.08,0.1,0.28,0.17,0.49,0.06,0.06,0.1,0.08,0.17,0.1,0.08,0.08
280,USEQUITY,DIAMONDENG, Diamondback Energy Inc,CMC,3,0.08,0.08,0.13,0.16,0.19,0.14,0.25,0.34,0.46,0.61,0.71,0.14,0.71,0.61,0.13,0.25,0.14,0.71,0.14,0.19,0.14,0.34,0.34,0.14,0.71,0.71,0.25,0.14,0.25,0.61,0.34,0.25,0.61,0.16,0.14,0.61,0.25,0.25,0.61,0.14,0.46,0.46,0.19,0.14,0.34,0.19,0.14,0.46,0.34,0.13,0.61,0.16,0.71,0.34,0.25,0.19,0.19,0.25,0.18,0.14,0.25,0.34,0.25,0.25,0.14,0.25,0.71,0.34,0.19,0.34,0.25,0.16,0.71,0.14,0.25,0.34,0.71,0.13,0.14,0.14,0.14,0.14,0.14,0.25,0.14,0.25,0.46,0.34,0.71,0.19,0.19,0.25,0.14,0.34,0.25,0.14,0.14
281,USEQUITY,DIVHT, Diversified Healthcare Trust,CMC,3,0.01,0.01,0.03,0.04,0.05,0.04,0.09,0.16,0.27,0.38,0.48,0.04,0.48,0.38,0.03,0.09,0.04,0.48,0.04,0.05,0.04,0.16,0.16,0.04,0.48,0.48,0.09,0.04,0.09,0.38,0.16,0.09,0.38,0.02,0.04,0.38,0.09,0.09,0.38,0.04,0.27,0.27,0.05,0.04,0.16,0.05,0.04,0.27,0.16,0.03,0.38,0.04,0.48,0.16,0.09,0.05,0.05,0.09,0.11,0.04,0.09,0.16,0.09,0.09,0.04,0.09,0.48,0.16,0.05,0.16,0.09,0.02,0.48,0.04,0.09,0.16,0.48,0.03,0.04,0.04,0.04,0.04,0.04,0.09,0.04,0.09,0.27,0.16,0.48,0.05,0.05,0.09,0.04,0.16,0.09,0.04,0.04
282,USEQUITY,DKNG, DraftKings Inc,CMC,3,0.01,0.01,0.03,0.04,0.05,0.07,0.09,0.15,0.3,0.46,0.66,0.07,0.66,0.46,0.03,0.09,0.07,0.66,0.07,0.05,0.07,0.15,0.15,0.07,0.66,0.66,0.09,0.07,0.09,0.46,0.15,0.09,0.46,0.02,0.07,0.46,0.09,0.09,0.46,0.07,0.3,0.3,0.05,0.07,0.15,0.05,0.07,0.3,0.15,0.03,0.46,0.04,0.66,0.15,0.09,0.05,0.05,0.09,0.11,0.07,0.09,0.15,0.09,0.09,0.07,0.09,0.66,0.15,0.05,0.15,0.09,0.02,0.66,0.07,0.09,0.15,0.66,0.03,0.07,0.07,0.07,0.07,0.07,0.09,0.07,0.09,0.3,0.15,0.66,0.05,0.05,0.09,0.07,0.15,0.09,0.07,0.07
283,USEQUITY,DLTR, Dollar Tree,CMC,3,0.11,0.11,0.16,0.21,0.26,0.33,0.43,0.47,0.67,0.9,1,0.33,1,0.9,0.16,0.43,0.33,1,0.33,0.26,0.33,0.47,0.47,0.33,1,1,0.43,0.33,0.43,0.9,0.47,0.43,0.9,0.22,0.33,0.9,0.43,0.43,0.9,0.33,0.67,0.67,0.26,0.33,0.47,0.26,0.33,0.67,0.47,0.16,0.9,0.21,1,0.47,0.43,0.26,0.26,0.43,0.21,0.33,0.43,0.47,0.43,0.43,0.33,0.43,1,0.47,0.26,0.47,0.43,0.22,1,0.33,0.43,0.47,1,0.16,0.33,0.33,0.33,0.33,0.33,0.43,0.33,0.43,0.67,0.47,1,0.26,0.26,0.43,0.33,0.47,0.43,0.33,0.33
284,USEQUITY,DNMR, Danimer Scientific Inc,CMC,3,0.01,0.01,0.02,0.03,0.04,0.06,0.1,0.17,0.28,0.39,0.49,0.06,0.49,0.39,0.02,0.1,0.06,0.49,0.06,0.04,0.06,0.17,0.17,0.06,0.49,0.49,0.1,0.06,0.1,0.39,0.17,0.1,0.39,0.02,0.06,0.39,0.1,0.1,0.39,0.06,0.28,0.28,0.04,0.06,0.17,0.04,0.06,0.28,0.17,0.02,0.39,0.03,0.49,0.17,0.1,0.04,0.04,0.1,0.11,0.06,0.1,0.17,0.1,0.1,0.06,0.1,0.49,0.17,0.04,0.17,0.1,0.02,0.49,0.06,0.1,0.17,0.49,0.02,0.06,0.06,0.06,0.06,0.06,0.1,0.06,0.1,0.28,0.17,0.49,0.04,0.04,0.1,0.06,0.17,0.1,0.06,0.06
285,USEQUITY,DOCN, DigitalOcean Holdings Inc,CMC,3,0.05,0.05,0.07,0.09,0.11,0.13,0.22,0.27,0.4,0.51,0.61,0.13,0.61,0.51,0.07,0.22,0.13,0.61,0.13,0.11,0.13,0.27,0.27,0.13,0.61,0.61,0.22,0.13,0.22,0.51,0.27,0.22,0.51,0.1,0.13,0.51,0.22,0.22,0.51,0.13,0.4,0.4,0.11,0.13,0.27,0.11,0.13,0.4,0.27,0.07,0.51,0.09,0.61,0.27,0.22,0.11,0.11,0.22,0.15,0.13,0.22,0.27,0.22,0.22,0.13,0.22,0.61,0.27,0.11,0.27,0.22,0.1,0.61,0.13,0.22,0.27,0.61,0.07,0.13,0.13,0.13,0.13,0.13,0.22,0.13,0.22,0.4,0.27,0.61,0.11,0.11,0.22,0.13,0.27,0.22,0.13,0.13
