SR NO,GROUP,SYMBOL,DESCRIPTION,LP,DIGITS,Benchmark,Core Spread,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P51,P52,P53,P54,P55,P56,P57,P59,P60,P62,P63,P64,P65,P66,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103
11,ForexMajors,USDJPY, US Dollar vs Canadian Dollar,CMC,5,0.00005,0.00005,0.00005,0.00007,0.00015,0.00043,0.00053,0.00063,0.00073,0.00083,0.00133,0.00043,0.00133,0.00083,0.00005,0.00053,0.00043,0.00266,0.00043,0.00015,0.00043,0.00063,0.00063,0.00043,0.00133,0.00133,0.00053,0.00043,0.00053,0.00083,0.00063,0.00053,0.00083,0.00005,0.00043,0.00083,0.00053,0.00053,0.00083,0.00043,0.00073,0.00073,0.00015,0.00043,0.00063,0.00007,0.00007,0.00073,0.00063,0.00005,0.00083,0.00007,0.00133,0.00063,0.00053,0.00015,0.00015,0.00053,0.00063,0.00043,0.00053,0.00063,0.00053,0.00053,0.00043,0.00053,0.00133,0.00063,0.00015,0.00063,0.00053,0.00005,0.00133,0.00043,0.00053,0.00063,0.00133,0.00005,0.00043,0.00043,0.00043,0.00043,0.00043,0.00053,0.00043,0.00053,0.00073,0.00063,0.00133,0.00015,0.00015,0.00053,0.00043,0.00063,0.00053,0.00043,0.00043
12,ForexMajors,USDCHF, US Dollar vs Swiss Franc,CMC,5,0.00005,0.00005,0.00005,0.00007,0.00009,0.0003,0.0004,0.0005,0.0006,0.0007,0.00119,0.0003,0.00119,0.0007,0.00005,0.0004,0.0003,0.00238,0.0003,0.00009,0.0003,0.0005,0.0005,0.0003,0.00119,0.00119,0.0004,0.0002,0.0004,0.0007,0.0005,0.0004,0.0007,0.00005,0.0003,0.0007,0.0004,0.0004,0.0007,0.0003,0.0006,0.0006,0.00009,0.0003,0.0005,0.00007,0.0003,0.0006,0.0005,0.00005,0.0007,0.00007,0.00119,0.0005,0.0004,0.00009,0.00009,0.0004,0.0005,0.0003,0.0004,0.0005,0.0004,0.0004,0.0003,0.0004,0.00119,0.0005,0.00009,0.0005,0.0004,0.00005,0.00119,0.0003,0.0004,0.0005,0.00119,0.00005,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0006,0.0005,0.00119,0.00009,0.00009,0.0004,0.0003,0.0005,0.0004,0.0003,0.0003
13,ForexMajors,USDJPY, US Dollar vs Japense Yen,CMC,3,0.003,0.003,0.003,0.005,0.006,0.025,0.038,0.05,0.063,0.075,0.138,0.025,0.138,0.075,0.003,0.038,0.025,0.276,0.025,0.006,0.025,0.05,0.05,0.025,0.138,0.138,0.038,0.013,0.038,0.075,0.05,0.038,0.075,0.003,0.025,0.075,0.038,0.038,0.075,0.025,0.063,0.063,0.006,0.025,0.05,0.005,0.005,0.063,0.05,0.003,0.075,0.005,0.138,0.05,0.038,0.006,0.006,0.038,0.05,0.025,0.038,0.05,0.038,0.038,0.025,0.038,0.138,0.05,0.006,0.05,0.038,0.003,0.138,0.025,0.038,0.05,0.138,0.003,0.025,0.025,0.025,0.025,0.025,0.038,0.025,0.038,0.063,0.05,0.138,0.006,0.006,0.038,0.025,0.05,0.038,0.025,0.025
14,ForexMinors,AUDCAD, Australian Dollar vs Canadian Dollar,CMC,5,0.00007,0.00007,0.00007,0.00009,0.00012,0.00039,0.00049,0.00059,0.00069,0.00079,0.00125,0.00039,0.00125,0.00079,0.00007,0.00049,0.00039,0.0025,0.00039,0.00012,0.00039,0.00059,0.00059,0.00039,0.00125,0.00125,0.00049,0.00039,0.00049,0.00079,0.00059,0.00049,0.00079,0.00007,0.00039,0.00079,0.00049,0.00049,0.00079,0.00039,0.00069,0.00069,0.00012,0.00039,0.00059,0.00009,0.00039,0.00069,0.00059,0.00007,0.00079,0.00009,0.00125,0.00059,0.00049,0.00012,0.00012,0.00049,0.00059,0.00039,0.00049,0.00059,0.00049,0.00049,0.00039,0.00049,0.00125,0.00059,0.00012,0.00059,0.00049,0.00007,0.00125,0.00039,0.00049,0.00059,0.00125,0.00007,0.00039,0.00039,0.00039,0.00039,0.00039,0.00049,0.00039,0.00049,0.00069,0.00059,0.00125,0.00012,0.00012,0.00049,0.00039,0.00059,0.00049,0.00039,0.00039
15,,AUDCHF, Australian Dollar vs Swiss Franc,CMC,5,0.0001,0.0001,0.0001,0.00013,0.00016,0.00035,0.00045,0.00055,0.00065,0.00075,0.00124,0.00035,0.00124,0.00075,0.0001,0.00045,0.00035,0.00248,0.00035,0.00016,0.00035,0.00055,0.00055,0.00035,0.00124,0.00124,0.00045,0.00035,0.00045,0.00075,0.00055,0.00045,0.00075,0.0001,0.00035,0.00075,0.00045,0.00045,0.00075,0.00035,0.00065,0.00065,0.00016,0.00035,0.00055,0.00013,0.00035,0.00065,0.00055,0.0001,0.00075,0.00013,0.00124,0.00055,0.00045,0.00016,0.00016,0.00045,0.00055,0.00035,0.00045,0.00055,0.00045,0.00045,0.00035,0.00045,0.00124,0.00055,0.00016,0.00055,0.00045,0.0001,0.00124,0.00035,0.00045,0.00055,0.00124,0.0001,0.00035,0.00035,0.00035,0.00035,0.00035,0.00045,0.00035,0.00045,0.00065,0.00055,0.00124,0.00016,0.00016,0.00045,0.00035,0.00055,0.00045,0.00035,0.00035
16,ForexMinors,AUDJPY, Australian Dollar vs Japense Yen,CMC,3,0.011,0.011,0.011,0.015,0.019,0.035,0.048,0.06,0.073,0.085,0.148,0.035,0.148,0.085,0.011,0.048,0.035,0.296,0.035,0.019,0.035,0.06,0.06,0.035,0.148,0.148,0.048,0.035,0.048,0.085,0.06,0.048,0.085,0.011,0.035,0.085,0.048,0.048,0.085,0.035,0.073,0.073,0.019,0.035,0.06,0.015,0.035,0.073,0.06,0.011,0.085,0.015,0.148,0.06,0.048,0.019,0.019,0.048,0.06,0.035,0.048,0.06,0.048,0.048,0.035,0.048,0.148,0.06,0.019,0.06,0.048,0.011,0.148,0.035,0.048,0.06,0.148,0.011,0.035,0.035,0.035,0.035,0.035,0.048,0.035,0.048,0.073,0.06,0.148,0.019,0.019,0.048,0.035,0.06,0.048,0.035,0.035
17,ForexMinors,AUDNZD, Australian Dollar vs New Zealand Dollar,CMC,5,0.00013,0.00013,0.00013,0.00016,0.0002,0.00068,0.00086,0.00104,0.00122,0.0014,0.0023,0.00068,0.0023,0.0014,0.00013,0.00086,0.00068,0.0046,0.00068,0.0002,0.00068,0.00104,0.00104,0.00068,0.0023,0.0023,0.00086,0.00068,0.00086,0.0014,0.00104,0.00086,0.0014,0.00013,0.00068,0.0014,0.00086,0.00086,0.0014,0.00068,0.00122,0.00122,0.0002,0.00068,0.00104,0.00016,0.00068,0.00122,0.00104,0.00013,0.0014,0.00016,0.0023,0.00104,0.00086,0.0002,0.0002,0.00086,0.00104,0.00068,0.00086,0.00104,0.00086,0.00086,0.00068,0.00086,0.0023,0.00104,0.0002,0.00104,0.00086,0.00013,0.0023,0.00068,0.00086,0.00104,0.0023,0.00013,0.00068,0.00068,0.00068,0.00068,0.00068,0.00086,0.00068,0.00086,0.00122,0.00104,0.0023,0.0002,0.0002,0.00086,0.00068,0.00104,0.00086,0.00068,0.00068
18,ForexMinors,CADCHF, Canadian Dollar vs Australian Dollar,CMC,5,0.00012,0.00012,0.00012,0.00016,0.0002,0.0004,0.0005,0.0006,0.0007,0.0008,0.0013,0.0004,0.0013,0.0008,0.00012,0.0005,0.0004,0.0026,0.0004,0.0002,0.0004,0.0006,0.0006,0.0004,0.0013,0.0013,0.0005,0.0004,0.0005,0.0008,0.0006,0.0005,0.0008,0.00012,0.0004,0.0008,0.0005,0.0005,0.0008,0.0004,0.0007,0.0007,0.0002,0.0004,0.0006,0.00016,0.0004,0.0007,0.0006,0.00012,0.0008,0.00016,0.0013,0.0006,0.0005,0.0002,0.0002,0.0005,0.0006,0.0004,0.0005,0.0006,0.0005,0.0005,0.0004,0.0005,0.0013,0.0006,0.0002,0.0006,0.0005,0.00012,0.0013,0.0004,0.0005,0.0006,0.0013,0.00012,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0004,0.0005,0.0007,0.0006,0.0013,0.0002,0.0002,0.0005,0.0004,0.0006,0.0005,0.0004,0.0004
19,ForexMinors,CADJPY, Canadian Dollar vs Japanse Yen,CMC,3,0.012,0.012,0.012,0.016,0.021,0.032,0.045,0.057,0.07,0.082,0.146,0.032,0.146,0.082,0.012,0.045,0.032,0.292,0.032,0.021,0.032,0.057,0.057,0.032,0.146,0.146,0.045,0.032,0.045,0.082,0.057,0.045,0.082,0.012,0.032,0.082,0.045,0.045,0.082,0.032,0.07,0.07,0.021,0.032,0.057,0.016,0.032,0.07,0.057,0.012,0.082,0.016,0.146,0.057,0.045,0.021,0.021,0.045,0.057,0.032,0.045,0.057,0.045,0.045,0.032,0.045,0.146,0.057,0.021,0.057,0.045,0.012,0.146,0.032,0.045,0.057,0.146,0.012,0.032,0.032,0.032,0.032,0.032,0.045,0.032,0.045,0.07,0.057,0.146,0.021,0.021,0.045,0.032,0.057,0.045,0.032,0.032
20,ForexMinors,CADNZD, Canadian Dollar vs NewZealand Dollar,CMC,5,0.00029,0.00029,0.00065,0.00085,0.00095,0.00083,0.00101,0.00119,0.00137,0.00155,0.00245,0.00083,0.00245,0.00155,0.00065,0.00101,0.00083,0.0049,0.00083,0.00095,0.00083,0.00119,0.00119,0.00083,0.00245,0.00245,0.00101,0.00083,0.00101,0.00155,0.00119,0.00101,0.00155,0.00065,0.00083,0.00155,0.00101,0.00101,0.00155,0.00083,0.00137,0.00137,0.00095,0.00083,0.00119,0.00085,0.00083,0.00137,0.00119,0.00065,0.00155,0.00085,0.00245,0.00119,0.00101,0.00095,0.00095,0.00101,0.00119,0.00083,0.00101,0.00119,0.00101,0.00101,0.00083,0.00101,0.00245,0.00119,0.00095,0.00119,0.00101,0.00065,0.00245,0.00083,0.00101,0.00119,0.00245,0.00065,0.00083,0.00083,0.00083,0.00083,0.00083,0.00101,0.00083,0.00101,0.00137,0.00119,0.00245,0.00095,0.00095,0.00101,0.00083,0.00119,0.00101,0.00083,0.00083
